T,TM,Tm,SLP,H,VV,V,VM
13.2,18.2,9.2,1021,92,0.8,7.6,11.1
11.1,18.3,5,1020.2,80,1.1,8,14.8
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8
,,,,,,,
,,,,,,,
,,,,,,,
12.2,19.7,6.1,1018,74,1,3.9,-
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
13.9,21.6,7,1019.6,74,0.8,1.1,9.4
14.9,22.1,8.9,1017.2,78,1,2.8,7.6
12,22.1,9.6,1019.7,95,0.3,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
14.5,21,8.6,1023.2,88,1.3,3.5,7.6
14.6,22.3,9,1021.2,86,1,4.4,9.4
13.4,22.3,11.5,1020.6,98,1.4,6.9,13
,,,,,,,
,,,,,,,
,,,,,,,
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8
16.6,24,10.1,1018.8,75,1.3,10,14.8
,,,,,,,
,,,,,,,
,,,,,,,
14.8,21.1,10,1019.3,86,0.5,3,11.1
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6
,,,,,,,
,,,,,,,
,,,,,,,
19.7,26.4,15.1,1009.3,72,1.6,15,29.4
13.8,26.4,9.6,1011.3,88,1,8.1,14.8
12.7,19.5,7,1012,66,1.4,9.3,25.9
,,,,,,,
,,,,,,,
,,,,,,,
15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1
13.1,22.6,11,1011.8,97,1.1,5.4,11.1
12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6
16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4
17.2,24.6,9,1014.2,75,1.4,8.9,14.8
,,,,,,,
,,,,,,,
,,,,,,,
17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6
18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4
18.6,25.3,13,1013.3,80,1.1,7.2,22.2
,,,,,,,
16.3,21.3,12,1015.1,90,1.1,4.3,13
16.1,21.8,10,1017.1,82,1.3,5.7,11.1
17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
18.4,25.9,11,1017,65,2.3,6.7,14.8
19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1
22.3,29,14,1014.6,61,2.3,5,13
,,,,,,,
,,,,,,,
,,,,,,,
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3
19.7,27.6,12,1015.2,66,1.9,5.7,13
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4
,,,,,,,
,,,,,,,
,,,,,,,
21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2
21.5,29.2,15,1010.8,59,2.6,7.4,18.3
22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1
,,,,,,,
,,,,,,,
,,,,,,,
24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1
25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1
23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.2,30.8,17,1008.2,48,1.9,13.1,22.2
24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9
26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8
25.1,35.2,18,1010.4,53,2.1,10.4,25.9
,,,,,,,
,,,,,,,
,,,,,,,
27.2,38,21,1009.7,55,1.9,13,18.3
25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3
25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9
,,,,,,,
,,,,,,,
,,,,,,,
27,37.2,22.6,1009.8,49,1.9,15.6,27.8
27.7,34.5,21.5,1010.6,55,1.9,5.2,13
29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
25.6,32.3,20,1011.4,64,1.9,5,14.8
26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1
28.1,35.8,18.6,1010,40,1.9,8.7,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.5,38.8,20.6,1006,41,2.4,8.1,22.2
31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5
30.6,38.7,21.5,1007,36,1.9,8.3,18.3
,,,,,,,
,,,,,,,
,,,,,,,
34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3
34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1
31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3
,,,,,,,
,,,,,,,
,,,,,,,
31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6
32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5
30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8
,,,,,,,
,,,,,,,
,,,,,,,
25.2,30.6,18,1008.2,71,2.6,10,20.6
26.9,32.1,19,1006.6,62,1.8,8.5,18.3
29.7,35.4,23,1004.1,48,1.8,11.1,16.5
,,,,,,,
,,,,,,,
,,,,,,,
32.3,39.1,24,1006.6,36,2.3,11.7,24.1
31.9,38.8,26.5,1006,39,2.3,8.7,22.2
32.8,38.6,24.8,1002.3,40,1.9,9.6,18.3
,,,,,,,
,,,,,,,
,,,,,,,
32.4,40.6,23.2,1005.2,45,2.7,8.9,14.8
30,36.4,21.4,1007.2,60,2.6,4.1,14.8
31.8,38.8,24,1004.8,54,1.9,2.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
34.6,42.8,25,999.6,46,1.8,6.3,18.3
32.9,41.6,25.6,1003,44,2.9,17.4,55.4
32.8,39.9,25,1003.3,48,2.6,4.6,14.8
34.8,41.7,26.5,1000,40,2.6,6.5,14.8
,,,,,,,
,,,,,,,
,,,,,,,
38.5,44.9,30.8,994,31,1.9,13.1,29.4
37.8,45.1,28.6,993.3,34,1.9,6.7,18.3
37.9,45.5,30.1,993.1,38,1.9,5.9,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.3,41.1,22.7,997.7,62,2.6,16.7,29.4
30.5,37.1,25.5,997.3,73,2.6,6.5,22.2
33.9,40.6,28,997,59,2.1,8.1,25.9
